country,year,residual_load_p10_mw,residual_load_p50_mw,residual_load_p90_mw,price_low_residual_median_eur_mwh,price_negative_median_eur_mwh,residual_negative_p10_mw,residual_negative_p50_mw,residual_negative_p90_mw
DE,2018,9289.366499999993,22544.143750000003,36885.131,,-6.62,-3039.454499999996,2341.707500000004,8765.695500000002
DE,2019,8099.608999999999,20232.785,33446.446,,-7.28,-4050.230000000007,580.7900000000027,5229.325000000003
DE,2020,7622.739999999997,19835.735,32422.951500000003,,-5.945,-3662.797999999996,1184.0387500000031,5399.324250000002
DE,2021,9379.8745,22625.349999999995,36199.056,,-8.74,-4056.362,598.3799999999974,5182.9395
DE,2022,3460.2415000000005,17086.362500000003,31549.399999999998,,-0.59,-5123.217749999996,-2017.6025000000016,2587.4954999999977
DE,2023,1477.4400000000037,15314.73,29366.9495,,-1.9,-9251.718999999994,-4153.592499999999,1129.4095000000104
DE,2024,2067.5754999999995,16648.525000000005,30191.4575,,-2.01,-9454.465000000002,-4275.172500000002,2650.097000000001
ES,2018,7900.0,14426.0,20948.000000000007,,,,,
ES,2019,6986.0,13083.0,19455.4,,,,,
ES,2020,4301.4,10807.0,17307.600000000002,,,,,
ES,2021,3616.000000000001,10696.0,17260.8,,,,,
ES,2022,1999.8,9036.0,15849.399999999998,,,,,
ES,2023,-888.0,7320.0,15264.0,,,,,
ES,2024,-1664.0,7040.0,15556.0,,-0.1,-5209.6,-1372.0,1914.400000000001
