slide,question,historical_covered,prospective_covered,status
1,CONTEXTE,True,True,OK
2,Q1,True,True,OK
3,Q1,True,True,OK
4,Q1,True,True,OK
5,Q1,True,True,OK
6,Q1,True,True,OK
7,Q1,True,True,OK
8,Q2,True,True,OK
9,Q2,True,True,OK
10,Q2,True,True,OK
11,Q2,True,True,OK
12,Q2,True,True,OK
13,Q2,True,True,OK
14,Q3,True,True,OK
15,Q3,True,True,OK
16,Q3,True,True,OK
17,Q3,True,True,OK
18,Q3,True,True,OK
19,Q3,True,True,OK
20,Q4,True,True,OK
21,Q4,True,True,OK
22,Q4,True,True,OK
23,Q4,True,True,OK
24,Q4,True,True,OK
25,Q4,True,True,OK
26,Q5,True,True,OK
27,Q5,True,True,OK
28,Q5,True,True,OK
29,Q5,True,True,OK
30,Q5,True,True,OK
31,Q5,True,True,OK
32,ARCHI,True,True,OK
33,PERIMETRE,True,True,OK
